x,y,tf_mean,tf_q05,tf_q95,gp_mean,gp_q05,gp_q95
-121.53,38.38,225.54325819079563,147.71968759478284,303.36678734082864,138.58118937807953,42.732213877686874,234.43016487847223
-121.5279797979798,38.38,225.54325819079563,147.71968759478284,303.36678734082864,138.55486965661967,42.70922080780812,234.40051850543122
-121.52595959595959,38.38,49.856909363225625,-30.437248776100716,130.1510471858952,138.52479477524156,42.68427148954392,234.3653180609392
-121.5239393939394,38.38,49.856909363225625,-30.437248776100716,130.1510471858952,138.4914762527069,42.65869706493679,234.324255440477
-121.5219191919192,38.38,49.856909363225625,-30.437248776100716,130.1510471858952,138.45592474405393,42.63461911035729,234.27723037775053
-121.51989898989899,38.38,-31.547064843840246,-38.93387618126056,-16.01785757681955,138.41978552029784,42.615149367392135,234.22442167320355
-121.51787878787879,38.38,-21.50602045183868,-38.43164842574595,14.093430175618167,138.3854771525688,42.60458956855456,234.16636473658303
-121.51585858585858,38.38,-14.516102318543375,-38.081941875983716,35.03832999027,138.35632386406513,42.60861292527392,234.10403480285635
-121.51383838383839,38.38,-26.01142925593092,-38.656984529385255,0.592988992990513,138.3366698572218,42.634404167628034,234.03893554681554
-121.51181818181819,38.38,-36.588768373529916,-39.18598476253365,-31.20978883736015,138.33196230346587,42.69073157355933,233.9731930333724
-121.50979797979798,38.38,22.88334558733824,-35.83908698914283,138.35818239627204,138.34878889155323,42.78792316095348,233.90965462215297
-121.50777777777778,38.38,180.86106573950048,2.2392688209118603,302.6251025925487,138.39485612685166,42.937721118131634,233.8519911355717
-121.50575757575757,38.38,111.5525270016882,-24.668436480368882,277.7775517977144,138.47889614259617,43.15299445372436,233.80479783146797
-121.50373737373738,38.38,102.22218851971374,0.3645322508703259,208.27995762926798,138.6104926967011,43.447300253768205,233.77368513963404
-121.50171717171717,38.38,216.17798156049577,118.14515209905315,297.7097069053722,138.79982121410052,43.83429878916664,233.76534363903437
-121.49969696969697,38.38,49.282451829539255,-27.47018471647283,144.89720255344028,139.05730297013827,44.327046212398955,233.78755972787758
-121.49767676767677,38.38,139.33523104205966,34.11944498691821,244.29724224532254,139.39317942444723,44.9372089941203,233.84914985477414
-121.49565656565656,38.38,139.61292240833734,34.76056716015212,244.20307697916235,139.8170188212834,45.67426386003919,233.95977378252763
-121.49363636363637,38.38,139.9511233306172,35.49868267816949,244.11878723352808,140.3371729243005,46.544762156090314,234.12958369251066
-121.49161616161616,38.38,140.35323476645198,36.36406173423475,244.04164244974896,140.96020661138408,47.55174403537822,234.36866918738997
-121.48959595959596,38.38,140.8208912924626,37.35526103305048,243.96737125390433,141.6903265609706,48.694381379644696,234.68627174229653
-121.48757575757575,38.38,141.35239982005663,38.47382789119679,243.88974537169273,142.52883710963292,49.967905757575906,235.0897684616899
-121.48555555555555,38.38,141.9416143573926,39.722895949814884,243.8004756071494,143.47365144628318,51.36383827251197,235.5834646200544
-121.48353535353536,38.38,142.57715331017775,41.091256915694316,243.68817162981918,144.5188847468184,52.870485150545804,236.167284343091
-121.48151515151515,38.38,143.24292324507977,42.56332710042123,243.53693118611,145.65455296104298,54.47360469087579,236.83550123121017
-121.47949494949495,38.38,143.92052316288957,44.12430297520204,243.32813446641927,146.8663972026453,56.157100844446234,237.57569356084434
-121.47747474747474,38.38,144.59426088424618,45.76728012739781,243.04335019971944,148.13584958105622,57.90357179643806,238.36812736567438
-121.47545454545454,38.38,145.25890487002962,47.49304521795894,242.65514927402967,149.44015231719658,59.694552237274365,239.18575239711885
-121.47343434343435,38.38,145.9299892360112,49.34761466181787,242.15599664768473,150.7526384151647,61.51034211888961,239.99493471143978
-121.47141414141414,38.38,146.6517701619803,51.39051463799716,241.58644111694537,152.04317909024255,63.3294080156075,240.7569501648776
-121.46939393939394,38.38,147.49209309157624,53.680211608701896,241.00065176477534,153.2788003730893,65.12745927257423,241.43014147360435
-121.46737373737373,38.38,148.51522042284935,56.26235141304494,240.48631853248702,154.4244683521005,66.87641504480936,241.97252165939165
-121.46535353535353,38.38,149.74108685942872,59.110018544128806,240.1187723327425,155.44403872651856,68.54356307860971,242.34451437442743
-121.46333333333334,38.38,151.11991090354803,62.108848102959854,239.90334425627995,156.3013610200884,70.09124389864155,242.51147814153524
-121.46131313131313,38.38,152.54183714135178,65.0765817995951,239.79873135253905,156.96152036540155,71.47736070213892,242.44568002866419
-121.45929292929293,38.38,153.87224984303782,67.8297520966802,239.72432362876083,157.39218992950987,72.65691181719431,242.12746804182547
-121.45727272727272,38.38,154.98646568596888,70.20887486385229,239.5883288042967,157.56505498326845,73.5845762916539,241.54553367488296
-121.45525252525252,38.38,155.7882601076539,72.10659363603938,239.30581350182567,157.45725604109737,74.2181739970289,240.69633808516585
-121.45323232323233,38.38,156.21286360628952,73.45970248134357,238.82481909064126,157.05278469907637,74.5226043698728,239.58296502827994
-121.45121212121212,38.38,156.22128445419023,74.23807423576413,238.07619092174147,156.34375353445583,74.47369165702632,238.21381541188535
-121.44919191919192,38.38,155.79486058310746,74.44301566666495,237.04196581987077,155.33145274250964,74.06128442050228,236.60162106451696
-121.44717171717171,38.38,154.93079642106878,74.07655518905857,235.69227017290504,154.02710313752897,73.29101623748696,234.76319003757098
-121.44515151515151,38.38,153.6416379099668,73.18631504642906,234.02434741685283,152.45221949702199,72.18434180838119,232.72009718566278
